FID,gid,nombre_geografico,tipo_asentamiento,codigo_asentamiento,nombre_aglomerado,codigo_aglomerado,nombre_departamento,codigo_indec_departamento,nombre_provincia,codigo_indec_provincia,latitud_grado_decimal,longitud_grado_decimal,latitud_grado_sexagecimal,longitud_grado_sexagecimal,fuente_de_captura,geom
localidad_bahra.2555,2555,Reta,Localidad simple,06833070,Reta,2086,Tres Arroyos,06833,Buenos Aires,06,-38.894894,-60.344858,"-38º53'42""","-60º20'41""",INDEC,MULTIPOINT ((-60.34485806432177 -38.8948939829726))
localidad_bahra.3528,3528,Olaeta,Localidad simple,14056120,Olaeta,2306,Juárez Celman,14056,Córdoba,14,-33.044761,-63.906067,"-33º 2'41""","-63º54'22""",INDEC,MULTIPOINT ((-63.906066644628076 -33.04476144888969))
localidad_bahra.4671,4671,Tabay,Localidad simple,18028030,Tabay,2511,Concepción,18028,Corrientes,18,-28.308136,-58.286866,"-28º18'29""","-58º17'13""",INDEC,MULTIPOINT ((-58.286865633583844 -28.308135912714427))
localidad_bahra.9740,9740,Zapala,Localidad simple,58112040,Zapala,0097,Zapala,58112,Neuquén,58,-38.902934,-70.064211,"-38º54'11""","-70º 3'51""",INDEC,MULTIPOINT ((-70.06421121666217 -38.902934354529485))
localidad_bahra.7,7,Rojas,Localidad simple,06686060,Rojas,0151,Rojas,06686,Buenos Aires,06,-34.197742,-60.733701,"-34º11'52""","-60º44' 1""",INDEC,MULTIPOINT ((-60.73370069504291 -34.197742429076996))
localidad_bahra.16,16,Bouquet,Localidad simple,82007020,Bouquet,1145,Belgrano,82007,Santa Fe,82,-32.423632,-61.889736,"-32º25'25""","-61º53'23""",INDEC,MULTIPOINT ((-61.88973605957988 -32.42363150242182))
localidad_bahra.709,709,Carhué,Localidad simple,06007010,Carhué,0283,Adolfo Alsina,06007,Buenos Aires,06,-37.179483,-62.759990,"-37º10'46""","-62º45'36""",INDEC,MULTIPOINT ((-62.75999038962977 -37.17948326473065))
localidad_bahra.710,710,Colonia San Miguel Arcángel,Localidad simple,06007020,Colonia San Miguel Arcángel,1600,Adolfo Alsina,06007,Buenos Aires,06,-37.449018,-63.117156,"-37º26'56""","-63º 7' 2""",INDEC,MULTIPOINT ((-63.11715636049272 -37.449017880323375))
localidad_bahra.711,711,Delfín Huergo,Localidad simple,06007030,Delfín Huergo,5043,Adolfo Alsina,06007,Buenos Aires,06,-37.321108,-63.234385,"-37º19'16""","-63º14' 4""",INDEC,MULTIPOINT ((-63.234384727382796 -37.32110751966492))
localidad_bahra.712,712,Espartillar,Componente de localidad compuesta,06007040,Espartillar,1209,Adolfo Alsina,06007,Buenos Aires,06,-37.357411,-62.438380,"-37º21'27""","-62º26'18""",INDEC,MULTIPOINT ((-62.43837979346337 -37.35741099873608))
